Semestre;Materia;Nota
Segundo;Historia del arte II;6.4
Segundo;Dibujo naturalista;6.3
Segundo;Grafica digital II;7.5
Segundo;Semiotica de la imagen;6.7
Segundo;Ingles avanzado;6.5
Segundo;logica y forma ;7.0
Segundo;Teoria comunicacion;6.6
Segundo;Introduccion al cine;8.5
Segundo;Foto e iluminacion;7.2
